"id","name","organisation","startdate","enddate","number_of_participants","number_of_waste_bags","kg_of_collected_waste","handout_gloves","handout_wastebags","municipality","county","municipality_name","county_name","meters_cleaned_beach","teiner","oljefat","fulle_soppelbotter","avfallsstasjon","kloakkutslipp","dumpet_avfall","serveringssteder","turisme","biltrafikk","havn","landbruk","fiskeri_havbruk","bygg_anlegg","geom_wkt","personal_use","fisheries","industrial","hygiene","others","created_at","created_by","updated_at","updated_by"
"144","Rydde Snøde Risavika Havnering - 9","Clean Shores Global","20/4/2020 02:00:00","20/4/2020 02:00:00","1","8","90","0","0","1124","11","Sola","Rogaland","0",,"2",,,,,,,,,,,,"POINT(5.60658838778826 58.9257984677344)","276","12","227","33","106","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"145","Rydde Tanangervegen Risavika Havnering","Clean Shores Global","21/4/2020 02:00:00","21/4/2020 02:00:00","1","8","120","0","0","1124","11","Sola","Rogaland","0",,"1",,,,,,,,,,,,"POINT(5.6070915704614 58.9281432565462)","450","6","213","52","56","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"146","Rydde Haga - Risavika Havnering","Clean Shores Global","22/4/2020 02:00:00","22/4/2020 02:00:00","1","14","240","1","1","1124","11","Sola","Rogaland","0",,"4",,,,,,,,,,,,"POINT(5.60681927222241 58.9314908278265)","1371","15","258","81","211","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"149","Rydde to seksjoner av turveien mellom Fet båthavn og Stasjonsstranda","Norges Dykkeforbund","21/4/2020 02:00:00","21/4/2020 02:00:00","16","30","900","0","0","3030","30","Lillestrøm","Viken","538",,"2","1",,,"1",,"1",,"1","1",,"1","POINT(11.1447548545144 59.9184268261762)","1610","220","107","10","1018","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"153","Geitavika, Raundøyna","Sunnmøre friluftsråd Hellevik","10/4/2020 02:00:00","10/4/2020 02:00:00","3","2","20","0","0","1520","15","Ørsta","Møre og Romsdal","67",,"0","0",,"0",,,,,,,"0","0","POINT(5.9595689100776 62.2366725562923)","71","44","79","5","123","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"164","Rydde Nordstranda","","1/4/2020 02:00:00","23/4/2020 02:00:00","2","10","100","0","1","4205","42","Lindesnes","Agder","806",,"0",,,,,,,,,,,,"POINT(7.59052426452637 57.9933459035922)","38","211","45","0","38","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"171","Rydde en seksjon av turveien mellom Fet båthavn og Stasjonsstranda","Norges Dykkeforbund","23/4/2020 02:00:00","23/4/2020 02:00:00","13","20","500","1","1","3030","30","Lillestrøm","Viken","805",,"0","1",,,"1",,"1",,"1",,,"1","POINT(11.1554393523386 59.9225219652877)","1122","113","71","5","531","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"177","Rydde Badeplass Hatlevika","","18/4/2020 02:00:00","25/4/2020 02:00:00","4","12","120","1","1","1507","15","Ålesund","Møre og Romsdal","0",,"0",,,,,,,,,,,,"POINT(6.27957191143062 62.4584336452811)","45","8","18","0","9","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"179","Løvika","","9/4/2020 02:00:00","9/4/2020 02:00:00","3","4","60","0","0","1507","15","Ålesund","Møre og Romsdal","106",,"0",,,,,,,,,,,,"POINT(6.62698114645574 62.4651719920532)","71","17","25","16","200","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"186","Kilholmen","","18/4/2020 02:00:00","18/4/2020 02:00:00","2","6","60","0","0","1836","18","Rødøy","Nordland","0",,"0",,,,,,,,,,,,"POINT(13.0091836138066 66.6648461546455)","49","304","46","2","56","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
